Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1652312543967	May 11, 2022 7:42:23 PM	985.568	
1652313578763	May 11, 2022 7:59:38 PM	985.75543	
1652315159652	May 11, 2022 8:25:59 PM	985.5172	
1652316749748	May 11, 2022 8:52:29 PM	985.52893	
1652317971791	May 11, 2022 9:12:51 PM	985.83636	
1652319547100	May 11, 2022 9:39:07 PM	985.84894	
1652320750395	May 11, 2022 9:59:10 PM	985.8634	
1652321839406	May 11, 2022 10:17:19 PM	985.5287	
1652322873888	May 11, 2022 10:34:33 PM	985.76605	
1652323886336	May 11, 2022 10:51:26 PM	985.8224	
1652325431447	May 11, 2022 11:17:11 PM	985.86743	
1652326576608	May 11, 2022 11:36:16 PM	985.84656	
1652327946355	May 11, 2022 11:59:06 PM	985.9218	
1652329556540	May 12, 2022 12:25:56 AM	985.8897	
1652331237971	May 12, 2022 12:53:57 AM	985.84064	
1652332878071	May 12, 2022 1:21:18 AM	985.63513	
1652334517986	May 12, 2022 1:48:37 AM	985.74396	
1652335461918	May 12, 2022 2:04:21 AM	985.5863	
1652335639589	May 12, 2022 2:07:19 AM	985.57947	
1652336935448	May 12, 2022 2:28:55 AM	985.43774	
1652338250179	May 12, 2022 2:50:50 AM	985.19525	
1652339460159	May 12, 2022 3:11:00 AM	985.3825	
1652341077423	May 12, 2022 3:37:57 AM	985.4475	
1652342678842	May 12, 2022 4:04:38 AM	985.4673	
1652344086239	May 12, 2022 4:28:06 AM	985.5281	
1652345768886	May 12, 2022 4:56:08 AM	985.6732	
1652347346044	May 12, 2022 5:22:26 AM	985.6411	
1652348943898	May 12, 2022 5:49:03 AM	985.8502	
1652349966172	May 12, 2022 6:06:06 AM	985.9501	
1652351047652	May 12, 2022 6:24:07 AM	986.1655	
1652351731635	May 12, 2022 6:35:31 AM	986.2597	
1652352640968	May 12, 2022 6:50:40 AM	986.3056	
1652353818213	May 12, 2022 7:10:18 AM	986.4945	
1652354808710	May 12, 2022 7:26:48 AM	986.9027	
1652355870985	May 12, 2022 7:44:30 AM	987.03253	
1652356894967	May 12, 2022 8:01:34 AM	986.72015	
1652357903941	May 12, 2022 8:18:23 AM	986.9888	
1652358993993	May 12, 2022 8:36:33 AM	987.0034	
1652360455968	May 12, 2022 9:00:55 AM	986.8294	
1652361514952	May 12, 2022 9:18:34 AM	987.11414	
1652362549627	May 12, 2022 9:35:49 AM	986.6668	
1652364038932	May 12, 2022 10:00:38 AM	986.5066	
1652365184079	May 12, 2022 10:19:44 AM	986.32983	
1652366085203	May 12, 2022 10:34:45 AM	986.286	
1652367594934	May 12, 2022 10:59:54 AM	986.3175	
1652368687899	May 12, 2022 11:18:07 AM	986.3598	
1652369494786	May 12, 2022 11:31:34 AM	986.2544	
1652370509229	May 12, 2022 11:48:29 AM	986.5529	
1652371552932	May 12, 2022 12:05:52 PM	986.575	
1652372471782	May 12, 2022 12:21:11 PM	986.3802	
1652373383850	May 12, 2022 12:36:23 PM	986.3024	
1652374296235	May 12, 2022 12:51:36 PM	985.9588	
1652375214090	May 12, 2022 1:06:54 PM	985.9522	
1652376174781	May 12, 2022 1:22:54 PM	985.7552	
1652377765300	May 12, 2022 1:49:25 PM	985.60516	
1652379360801	May 12, 2022 2:16:00 PM	985.4554	
1652380412709	May 12, 2022 2:33:32 PM	985.0667	
1652381988769	May 12, 2022 2:59:48 PM	984.67487	
1652383570248	May 12, 2022 3:26:10 PM	984.5425	
1652385184765	May 12, 2022 3:53:04 PM	984.1517	
1652386128136	May 12, 2022 4:08:48 PM	984.03076	
1652387216678	May 12, 2022 4:26:56 PM	983.78345	
1652388362688	May 12, 2022 4:46:02 PM	983.5924	
1652389729694	May 12, 2022 5:08:49 PM	983.45514	
1652390630709	May 12, 2022 5:23:50 PM	983.67633	
1652391608546	May 12, 2022 5:40:08 PM	983.60895	
1652392650841	May 12, 2022 5:57:30 PM	983.4872	
1652393194317	May 12, 2022 6:06:34 PM	983.39453	
1652394257823	May 12, 2022 6:24:17 PM	983.33716	
1652395219480	May 12, 2022 6:40:19 PM	982.91473	
1652396167666	May 12, 2022 6:56:07 PM	983.1355	
1652397195681	May 12, 2022 7:13:15 PM	983.021	
1652398197063	May 12, 2022 7:29:57 PM	982.86694	
1652399299300	May 12, 2022 7:48:19 PM	982.99316	
1652400241583	May 12, 2022 8:04:01 PM	983.0163	
1652401160620	May 12, 2022 8:19:20 PM	983.0709	
1652402745119	May 12, 2022 8:45:45 PM	983.2354	
1652404354025	May 12, 2022 9:12:34 PM	983.2222	
1652405929312	May 12, 2022 9:38:49 PM	983.3036	
1652407505528	May 12, 2022 10:05:05 PM	983.57324	
1652408543564	May 12, 2022 10:22:23 PM	983.2951	
1652410119558	May 12, 2022 10:48:39 PM	983.3716	
1652411696473	May 12, 2022 11:14:56 PM	983.0973	
1652413273606	May 12, 2022 11:41:13 PM	982.74133	
1652414849427	May 13, 2022 12:07:29 AM	982.77216	
1652416426456	May 13, 2022 12:33:46 AM	982.5811	
1652417782611	May 13, 2022 12:56:22 AM	982.5233	
1652419317427	May 13, 2022 1:21:57 AM	982.41724	
1652420814108	May 13, 2022 1:46:54 AM	982.52734	
1652422390386	May 13, 2022 2:13:10 AM	982.7677	
1652423986846	May 13, 2022 2:39:46 AM	982.7938	
1652425663284	May 13, 2022 3:07:43 AM	982.76086	
1652427387048	May 13, 2022 3:36:27 AM	982.4459	
1652428988909	May 13, 2022 4:03:08 AM	982.63165	
1652430624791	May 13, 2022 4:30:24 AM	982.77405	
1652432242371	May 13, 2022 4:57:22 AM	982.7736	
1652433923987	May 13, 2022 5:25:23 AM	982.7201	
1652435503431	May 13, 2022 5:51:43 AM	982.76556	
1652436472282	May 13, 2022 6:07:52 AM	982.79596	
1652437377031	May 13, 2022 6:22:57 AM	982.86456	
1652438483071	May 13, 2022 6:41:23 AM	983.0167	
1652439403159	May 13, 2022 6:56:43 AM	983.08514	
1652439966624	May 13, 2022 7:06:06 AM	983.0316	
1652440999880	May 13, 2022 7:23:19 AM	983.73816	
