Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1651427445984	May 1, 2022 1:50:45 PM	978.8241	
1651428456956	May 1, 2022 2:07:36 PM	978.84406	
1651429811318	May 1, 2022 2:30:11 PM	978.56146	
1651430727407	May 1, 2022 2:45:27 PM	978.5147	
1651431661376	May 1, 2022 3:01:01 PM	978.44434	
1651433027488	May 1, 2022 3:23:47 PM	978.3275	
1651434156183	May 1, 2022 3:42:36 PM	978.29224	
1651435106777	May 1, 2022 3:58:26 PM	977.4218	
1651436022278	May 1, 2022 4:13:42 PM	978.08417	
1651437011838	May 1, 2022 4:30:11 PM	977.98004	
1651438131049	May 1, 2022 4:48:51 PM	978.0459	
1651439060628	May 1, 2022 5:04:20 PM	978.01746	
1651439973173	May 1, 2022 5:19:33 PM	978.0619	
1651441023943	May 1, 2022 5:37:03 PM	978.01746	
1651442036960	May 1, 2022 5:53:56 PM	977.9267	
1651443099797	May 1, 2022 6:11:39 PM	978.00085	
1651444070414	May 1, 2022 6:27:50 PM	978.3088	
1651445152451	May 1, 2022 6:45:52 PM	978.3997	
1651446086609	May 1, 2022 7:01:26 PM	978.55914	
1651447099968	May 1, 2022 7:18:19 PM	978.5874	
1651448055097	May 1, 2022 7:34:15 PM	978.7769	
1651449033839	May 1, 2022 7:50:33 PM	978.8538	
1651450609326	May 1, 2022 8:16:49 PM	978.99646	
1651452030603	May 1, 2022 8:40:30 PM	979.25525	
1651453147025	May 1, 2022 8:59:07 PM	979.45734	
1651454115551	May 1, 2022 9:15:15 PM	979.68195	
1651455028590	May 1, 2022 9:30:28 PM	979.7965	
1651456047005	May 1, 2022 9:47:27 PM	979.95905	
1651457324968	May 1, 2022 10:08:44 PM	980.0617	
1651458300451	May 1, 2022 10:25:00 PM	980.1501	
1651459796946	May 1, 2022 10:49:56 PM	980.49054	
1651461372991	May 1, 2022 11:16:12 PM	980.703	
1651462623663	May 1, 2022 11:37:03 PM	980.72894	
1651464236086	May 2, 2022 12:03:56 AM	980.7493	
1651465208941	May 2, 2022 12:20:08 AM	981.02026	
1651466836619	May 2, 2022 12:47:16 AM	981.46954	
1651468438579	May 2, 2022 1:13:58 AM	981.6229	
1651470034285	May 2, 2022 1:40:34 AM	981.7917	
1651471643573	May 2, 2022 2:07:23 AM	981.98315	
1651473241136	May 2, 2022 2:34:01 AM	982.0271	
1651474865548	May 2, 2022 3:01:05 AM	982.1688	
1651476469530	May 2, 2022 3:27:49 AM	982.266	
1651478044798	May 2, 2022 3:54:04 AM	982.325	
1651479634931	May 2, 2022 4:20:34 AM	982.5486	
1651481277939	May 2, 2022 4:47:57 AM	982.6385	
1651482879355	May 2, 2022 5:14:39 AM	983.0365	
1651484045488	May 2, 2022 5:34:05 AM	982.9912	
1651484465453	May 2, 2022 5:41:05 AM	982.87476	
1651485495807	May 2, 2022 5:58:15 AM	982.92896	
1651486396742	May 2, 2022 6:13:16 AM	983.3072	
1651487298840	May 2, 2022 6:28:18 AM	983.4154	
1651488281919	May 2, 2022 6:44:41 AM	983.3956	
1651489302412	May 2, 2022 7:01:42 AM	983.4175	
1651490173045	May 2, 2022 7:16:13 AM	983.92175	
1651491171258	May 2, 2022 7:32:51 AM	984.0524	
1651492178160	May 2, 2022 7:49:38 AM	984.0507	
1651493190533	May 2, 2022 8:06:30 AM	983.87415	
1651494209584	May 2, 2022 8:23:29 AM	981.3482	
1651495117462	May 2, 2022 8:38:37 AM	981.2464	
1651496079790	May 2, 2022 8:54:39 AM	981.4162	
