Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1647454111645	Mar 16, 2022 2:08:31 PM	982.16016	
1647455691686	Mar 16, 2022 2:34:51 PM	981.5182	
1647457033860	Mar 16, 2022 2:57:13 PM	981.3412	
1647458298315	Mar 16, 2022 3:18:18 PM	980.87366	
1647459888050	Mar 16, 2022 3:44:48 PM	980.4514	
1647461466449	Mar 16, 2022 4:11:06 PM	980.1762	
1647462440078	Mar 16, 2022 4:27:20 PM	980.3156	
1647463364067	Mar 16, 2022 4:42:44 PM	980.1726	
1647464266694	Mar 16, 2022 4:57:46 PM	979.88916	
1647465281949	Mar 16, 2022 5:14:41 PM	979.80396	
1647466185745	Mar 16, 2022 5:29:45 PM	979.696	
1647467202215	Mar 16, 2022 5:46:42 PM	979.5712	
1647468475737	Mar 16, 2022 6:07:55 PM	979.37085	
1647469392110	Mar 16, 2022 6:23:12 PM	979.2863	
1647470305284	Mar 16, 2022 6:38:25 PM	979.10034	
1647471513374	Mar 16, 2022 6:58:33 PM	979.1524	
1647472529716	Mar 16, 2022 7:15:29 PM	979.1006	
1647473712707	Mar 16, 2022 7:35:12 PM	978.9988	
1647475258112	Mar 16, 2022 8:00:58 PM	979.3496	
1647476517955	Mar 16, 2022 8:21:57 PM	979.55237	
1647477479862	Mar 16, 2022 8:37:59 PM	979.6488	
1647478181401	Mar 16, 2022 8:49:41 PM	979.32135	
1647479194340	Mar 16, 2022 9:06:34 PM	979.74744	
1647480555922	Mar 16, 2022 9:29:15 PM	979.8071	
1647482294819	Mar 16, 2022 9:58:14 PM	979.71277	
1647483643803	Mar 16, 2022 10:20:43 PM	979.2521	
1647484156584	Mar 16, 2022 10:29:16 PM	979.41956	
1647485742688	Mar 16, 2022 10:55:42 PM	979.3375	
1647487452154	Mar 16, 2022 11:24:12 PM	979.1171	
1647488409855	Mar 16, 2022 11:40:09 PM	979.10565	
1647490093783	Mar 17, 2022 12:08:13 AM	978.87274	
1647491588823	Mar 17, 2022 12:33:08 AM	978.78925	
1647493201526	Mar 17, 2022 1:00:01 AM	978.61755	
1647494777784	Mar 17, 2022 1:26:17 AM	978.4278	
1647496355029	Mar 17, 2022 1:52:35 AM	978.4416	
1647498028070	Mar 17, 2022 2:20:28 AM	978.4382	
1647499647037	Mar 17, 2022 2:47:27 AM	978.5419	
1647501223249	Mar 17, 2022 3:13:43 AM	978.5007	
1647502852047	Mar 17, 2022 3:40:52 AM	978.44476	
1647504446342	Mar 17, 2022 4:07:26 AM	978.33813	
1647506022926	Mar 17, 2022 4:33:42 AM	978.3088	
1647507601392	Mar 17, 2022 5:00:01 AM	978.31647	
1647509180506	Mar 17, 2022 5:26:20 AM	978.3653	
1647510200418	Mar 17, 2022 5:43:20 AM	978.47626	
1647511241591	Mar 17, 2022 6:00:41 AM	978.5623	
1647512221610	Mar 17, 2022 6:17:01 AM	978.7055	
1647513296820	Mar 17, 2022 6:34:56 AM	978.8052	
1647514374683	Mar 17, 2022 6:52:54 AM	979.04193	
1647515276555	Mar 17, 2022 7:07:56 AM	979.29987	
1647516290122	Mar 17, 2022 7:24:50 AM	979.41016	
1647517242973	Mar 17, 2022 7:40:42 AM	979.5332	
1647518401300	Mar 17, 2022 8:00:01 AM	979.3836	
1647519678289	Mar 17, 2022 8:21:18 AM	979.8475	
1647520660836	Mar 17, 2022 8:37:40 AM	979.9954	
1647522221221	Mar 17, 2022 9:03:41 AM	980.2512	
1647523130818	Mar 17, 2022 9:18:50 AM	980.43207	
1647524740821	Mar 17, 2022 9:45:40 AM	980.6994	
1647526092952	Mar 17, 2022 10:08:12 AM	980.7621	
1647527705543	Mar 17, 2022 10:35:05 AM	980.8936	
1647528673076	Mar 17, 2022 10:51:13 AM	980.91656	
1647529659794	Mar 17, 2022 11:07:39 AM	980.7381	
1647531341533	Mar 17, 2022 11:35:41 AM	980.8645	
1647532384170	Mar 17, 2022 11:53:04 AM	980.84644	
1647533561645	Mar 17, 2022 12:12:41 PM	981.0579	
1647534487952	Mar 17, 2022 12:28:07 PM	980.9808	
1647535538784	Mar 17, 2022 12:45:38 PM	980.92847	
1647536482116	Mar 17, 2022 1:01:22 PM	980.79846	
1647537514114	Mar 17, 2022 1:18:34 PM	980.47015	
1647539092577	Mar 17, 2022 1:44:52 PM	980.17944	
1647540023762	Mar 17, 2022 2:00:23 PM	979.90765	
1647540122961	Mar 17, 2022 2:02:02 PM	979.9025	
1647541480477	Mar 17, 2022 2:24:40 PM	979.6535	
1647543089170	Mar 17, 2022 2:51:29 PM	979.2495	
1647544734409	Mar 17, 2022 3:18:54 PM	978.96246	
1647546326990	Mar 17, 2022 3:45:26 PM	978.6832	
1647547239155	Mar 17, 2022 4:00:39 PM	978.61774	
1647548192446	Mar 17, 2022 4:16:32 PM	978.8685	
1647548543819	Mar 17, 2022 4:22:23 PM	978.48303	
1647549657202	Mar 17, 2022 4:40:57 PM	978.4595	
1647551232508	Mar 17, 2022 5:07:12 PM	978.48303	
1647552186865	Mar 17, 2022 5:23:06 PM	978.69806	
1647553708351	Mar 17, 2022 5:48:28 PM	978.46436	
1647554613809	Mar 17, 2022 6:03:33 PM	978.44946	
1647555728338	Mar 17, 2022 6:22:08 PM	978.80817	
1647556650537	Mar 17, 2022 6:37:30 PM	978.9595	
1647557679797	Mar 17, 2022 6:54:39 PM	979.1273	
1647558667473	Mar 17, 2022 7:11:07 PM	979.14075	
1647560243314	Mar 17, 2022 7:37:23 PM	979.2474	
1647561823896	Mar 17, 2022 8:03:43 PM	979.408	
1647562751277	Mar 17, 2022 8:19:11 PM	979.533	
1647564231327	Mar 17, 2022 8:43:51 PM	979.56995	
1647565888968	Mar 17, 2022 9:11:28 PM	979.6769	
1647567477721	Mar 17, 2022 9:37:57 PM	979.9151	
1647569053200	Mar 17, 2022 10:04:13 PM	980.11566	
1647570416413	Mar 17, 2022 10:26:56 PM	979.96716	
1647572001972	Mar 17, 2022 10:53:21 PM	979.9648	
1647573643456	Mar 17, 2022 11:20:43 PM	980.03534	
1647575220233	Mar 17, 2022 11:47:00 PM	980.0428	
